Scopus-10-Analyze-Country

"Your query : ((TITLE-ABS-KEY(cyber security) OR TITLE-ABS-KEY(cybersecurity)))"


Number of results : 10

"COUNTRY/TERRITORY",
"United States","20143"
"India","10908"
"China","8262"
"United Kingdom","5450"
"Australia","2795"
"Italy","2709"
"Germany","2537"
"Saudi Arabia","2519"
"Canada","2353"
"South Korea","1908"
"France","1639"
"Spain","1564"
"Russian Federation","1412"
"Malaysia","1405"
"Japan","1370"
"Pakistan","1189"
"United Arab Emirates","1094"
"Turkey","1048"
"Ukraine","1009"
"Norway","1000"
"Greece","961"
"Singapore","945"
"Sweden","942"
"Netherlands","932"
"South Africa","881"
"Poland","880"
"Austria","738"
"Finland","737"
"Taiwan","719"
"Jordan","718"
"Indonesia","681"
"Portugal","668"
"Czech Republic","665"
"Iran","660"
"Brazil","656"
"Egypt","644"
"Iraq","620"
"Romania","568"
"Switzerland","559"
"Morocco","536"
"Ireland","494"
"Bangladesh","491"
"Denmark","474"
"Israel","463"
"Nigeria","457"
"Hong Kong","435"
"Belgium","391"
"Qatar","359"
"Estonia","320"
"Viet Nam","308"
"Tunisia","285"
"Hungary","284"
"New Zealand","274"
"Bulgaria","259"
"Algeria","248"
"Cyprus","240"
"Thailand","237"
"Ecuador","234"
"Lebanon","232"
"Mexico","228"
"Colombia","218"
"Kazakhstan","213"
"Oman","186"
"Slovakia","182"
"Serbia","180"
"Slovenia","165"
"Bahrain","162"
"Luxembourg","158"
"Croatia","152"
"Philippines","143"
"Peru","140"
"Lithuania","128"
"Chile","110"
"Kuwait","94"
"Sri Lanka","94"
"Macao","93"
"Ethiopia","89"
"Latvia","89"
"Ghana","86"
"Azerbaijan","76"
"Uzbekistan","76"
"Argentina","71"
"Yemen","65"
"Georgia","59"
"North Macedonia","53"
"Brunei Darussalam","48"
"Namibia","45"
"Uganda","42"
"Kenya","39"
"Albania","36"
"Bosnia and Herzegovina","36"
"Botswana","34"
"Palestine","34"
"Türkiye","33"
"Cameroon","30"
"Jamaica","30"
"Senegal","30"
"Malta","29"
"Mauritius","29"
"Libya","27"
"Sudan","25"
"Zimbabwe","25"
"Cuba","24"
"Nepal","24"
"Fiji","22"
"Moldova","22"
"Rwanda","22"
"Montenegro","21"
"Liechtenstein","19"
"Kyrgyzstan","17"
"Belarus","16"
"Syrian Arab Republic","15"
"Tanzania","15"
"Costa Rica","14"
"Iceland","14"
"Uruguay","14"
"Myanmar","12"
"Puerto Rico","12"
"Zambia","12"
"Armenia","11"
"Benin","11"
"Somalia","9"
"Afghanistan","8"
"Cambodia","8"
"Dominican Republic","7"
"Venezuela","7"
"Angola","6"
"Libyan Arab Jamahiriya","6"
"Cote d'Ivoire","5"
"Malawi","5"
"Panama","5"
"Swaziland","5"
"El Salvador","4"
"Gabon","4"
"Mauritania","4"
"Papua New Guinea","4"
"Trinidad and Tobago","4"
"Burkina Faso","3"
"Faroe Islands","3"
"Mali","3"
"Mongolia","3"
"Paraguay","3"
"Bermuda","2"
"Cape Verde","2"
"Djibouti","2"
"Gambia","2"
"Honduras","2"
"Lesotho","2"
"Mozambique","2"
"Nicaragua","2"
"North Korea","2"
"Sierra Leone","2"
"Solomon Islands","2"
"Tajikistan","2"
"Togo","2"
"Tonga","2"
"Turkmenistan","2"
"Anguilla","1"
"Aruba","1"
"Undefined","4767"
