id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
695	access control	-0.4464	-0.3685	1	210	334	343	2021.4636
782	accident prevention	-0.6937	0.4665	1	178	220	222	2022.009
1926	adversarial machine learning	0.9478	-0.3001	2	219	936	939	2023.8658
2959	algorithm	0.0975	-0.8231	4	207	234	236	2022.428
3756	anomaly detection	0.6106	0.2216	2	234	1628	1689	2021.9515
4270	application programs	-0.4513	-0.0628	1	215	319	320	2022.1719
4718	article	-0.2608	-0.9211	4	234	515	515	2022.6408
4781	artificial intelligence	0.138	-0.5912	1	241	2524	2619	2022.4464
5356	attack	-0.1176	-0.5525	1	213	348	361	2021.3657
5411	attack detection	0.6465	0.6603	2	219	660	665	2022.5008
6019	authentication	-0.2843	-0.4831	1	237	990	1025	2021.762
6154	auto encoders	0.9919	0.3907	2	178	268	269	2022.9368
6538	automation	-0.4366	0.1352	1	239	779	791	2021.8799
6745	automotives	-0.471	0.4981	1	164	244	247	2022.8947
6928	autonomous vehicles	-0.4316	0.2402	1	197	345	369	2022.1734
7085	awareness	-0.7551	-0.5674	1	150	238	244	2021.1189
7896	behavioral research	-0.4069	-0.1131	1	230	525	526	2022.2567
8038	benchmarking	0.4381	-0.0014	2	209	212	212	2022.5472
8306	big data	0.0052	-0.6895	1	227	660	681	2020.6755
8999	block-chain	-0.2357	-0.6289	1	232	846	846	2023.0236
9006	blockchain	-0.3429	-0.6342	1	236	1389	1444	2022.1607
9369	botnet	0.586	-0.1013	2	203	446	468	2020.9615
10797	case-studies	-0.6131	0.0322	1	201	253	254	2022.6693
12154	classification	0.767	-0.4828	2	192	340	351	2021.7009
12155	classification (of information)	0.9025	-0.1635	2	227	979	981	2022.4128
12532	cloud computing	-0.1116	-0.7648	1	223	610	635	2020.7087
12669	cloud security	0.1124	-0.7347	1	197	258	263	2022.8137
12750	cloud-computing	0.0404	-0.7591	1	217	358	359	2022.9081
14485	complex networks	0.3648	0.2535	3	216	291	293	2022.1092
14969	computer crime	0.4364	0.6139	3	237	3011	3015	2022.2428
15137	computer security	-0.3659	-0.8456	4	241	1008	1049	2021.4109
15201	computer viruses	0.4772	0.269	2	218	379	380	2022.8053
16460	contrastive learning	1.0532	-0.3509	2	163	320	321	2024.0374
16691	control systems	-0.521	0.6371	3	216	409	412	2021.0073
16807	controllers	-0.0472	0.7644	3	172	243	246	2022.313
16922	convolution	1.073	0.19	2	197	339	339	2022.5782
16959	convolutional neural network	1.1071	-0.0418	2	214	546	553	2023.047
16972	convolutional neural networks	1.1007	0.0875	2	213	669	670	2022.8552
